Strain,Mutations,Number/ID,Nor Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,5:29,G3,0.232
BL21,wt,JOE2354,0 ng/mL,25-Aug,5:29,H2,0.53
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,5:29,H3,0.242
BL21,wt,JOE2354,5 ng/mL,1-Sep,5:29,E2,0.286
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,5:29,E3,0.215
BL21,wt,JOE2354,2.5 ng/mL,1-Sep,5:29,F2,0.536
BL21,Δ7,JOE6969,2.5 ng/mL,1-Sep,5:29,F3,0.264
BL21,wt,JOE2354,1.25 ng/mL,1-Sep,5:29,G2,0.606
BL21,Δ7,JOE6969,1.25 ng/mL,1-Sep,5:29,G3,0.295
BL21,wt,JOE2354,0 ng/mL,1-Sep,5:29,H2,0.624
BL21,Δ7,JOE6969,0 ng/mL,1-Sep,5:29,H3,0.336
BL21,wt,JOE2354,5 ng/mL,6-Sep,5:29,E2,0.308
BL21,Δ7,JOE6969,5 ng/mL,6-Sep,5:29,E3,0.156
BL21,wt,JOE2354,2.5 ng/mL,6-Sep,5:29,F2,0.542
BL21,Δ7,JOE6969,2.5 ng/mL,6-Sep,5:29,F3,0.207
BL21,wt,JOE2354,1.25 ng/mL,6-Sep,5:29,G2,0.602
BL21,Δ7,JOE6969,1.25 ng/mL,6-Sep,5:29,G3,0.226
BL21,wt,JOE2354,0 ng/mL,6-Sep,5:29,H2,0.624
BL21,Δ7,JOE6969,0 ng/mL,6-Sep,5:29,H3,0.249
BL21,wt,JOE2354,5 ng/mL,20-Sep,5:29,F2,0.323
BL21,Δ7,JOE6969,5 ng/mL,20-Sep,5:29,F3,0.159
BL21,wt,JOE2354,2.5 ng/mL,20-Sep,5:29,G2,0.547
BL21,Δ7,JOE6969,2.5 ng/mL,20-Sep,5:29,G3,0.2
BL21,wt,JOE2354,0 ng/mL,20-Sep,5:29,H2,0.772
BL21,Δ7,JOE6969,0 ng/mL,20-Sep,5:29,H3,0.274
BL21,wt,JOE2354,5 ng/mL,25-Aug,5:59,F2,0.297
BL21,Δ7,JOE6969,5 ng/mL,25-Aug,5:59,F3,0.211
BL21,wt,JOE2354,2.5 ng/mL,25-Aug,5:59,G2,0.513
BL21,Δ7,JOE6969,2.5 ng/mL,25-Aug,5:59,G3,0.243
BL21,wt,JOE2354,0 ng/mL,25-Aug,5:59,H2,0.62
BL21,Δ7,JOE6969,0 ng/mL,25-Aug,5:59,H3,0.284
BL21,wt,JOE2354,5 ng/mL,1-Sep,5:59,E2,0.281
BL21,Δ7,JOE6969,5 ng/mL,1-Sep,5:59,E3,0.185
