Strain,Mutations,Number/ID,Tet Conc.,Date Recorded,Time,Well Number,Well Reading
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,19:59,E3,0.565
BL21,wt,JOE2354,78 ng/mL,7/25/2022,19:59,F2,1.139
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,19:59,F3,1.008
BL21,wt,JOE2354,0 ng/mL,7/25/2022,19:59,H2,1.244
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,19:59,H3,1.193
BL21,wt,JOE2354,156 ng/mL,9/13/2022,19:59,E2,0.858
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,19:59,E3,0.141
BL21,wt,JOE2354,78 ng/mL,9/13/2022,19:59,F2,1.146
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,19:59,F3,0.729
BL21,wt,JOE2354,0 ng/mL,9/13/2022,19:59,H2,1.214
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,19:59,H3,1.15
BL21,wt,JOE2354,156 ng/mL,7/25/2022,20:29,E2,0.739
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,20:29,E3,0.602
BL21,wt,JOE2354,78 ng/mL,7/25/2022,20:29,F2,1.148
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,20:29,F3,1.044
BL21,wt,JOE2354,0 ng/mL,7/25/2022,20:29,H2,1.246
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,20:29,H3,1.199
BL21,wt,JOE2354,156 ng/mL,9/13/2022,20:29,E2,0.878
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,20:29,E3,0.151
BL21,wt,JOE2354,78 ng/mL,9/13/2022,20:29,F2,1.157
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,20:29,F3,0.768
BL21,wt,JOE2354,0 ng/mL,9/13/2022,20:29,H2,1.216
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,20:29,H3,1.164
BL21,wt,JOE2354,156 ng/mL,7/25/2022,20:59,E2,0.761
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,20:59,E3,0.652
BL21,wt,JOE2354,78 ng/mL,7/25/2022,20:59,F2,1.157
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,20:59,F3,1.081
BL21,wt,JOE2354,0 ng/mL,7/25/2022,20:59,H2,1.248
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,20:59,H3,1.197
BL21,wt,JOE2354,156 ng/mL,9/13/2022,20:59,E2,0.899
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,20:59,E3,0.164
BL21,wt,JOE2354,78 ng/mL,9/13/2022,20:59,F2,1.167
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,20:59,F3,0.794
BL21,wt,JOE2354,0 ng/mL,9/13/2022,20:59,H2,1.216
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,20:59,H3,1.164
BL21,wt,JOE2354,156 ng/mL,7/25/2022,21:29,E2,0.781
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,21:29,E3,0.699
BL21,wt,JOE2354,78 ng/mL,7/25/2022,21:29,F2,1.165
BL21,Δ7 ,JOE6969,78 ng/mL,7/25/2022,21:29,F3,1.112
BL21,wt,JOE2354,0 ng/mL,7/25/2022,21:29,H2,1.25
BL21,Δ7 ,JOE6969,0 ng/mL,7/25/2022,21:29,H3,1.198
BL21,wt,JOE2354,156 ng/mL,9/13/2022,21:29,E2,0.917
BL21,Δ7 ,JOE6969,156 ng/mL,9/13/2022,21:29,E3,0.177
BL21,wt,JOE2354,78 ng/mL,9/13/2022,21:29,F2,1.176
BL21,Δ7 ,JOE6969,78 ng/mL,9/13/2022,21:29,F3,0.818
BL21,wt,JOE2354,0 ng/mL,9/13/2022,21:29,H2,1.219
BL21,Δ7 ,JOE6969,0 ng/mL,9/13/2022,21:29,H3,1.162
BL21,wt,JOE2354,156 ng/mL,7/25/2022,21:59,E2,0.8
BL21,Δ7 ,JOE6969,156 ng/mL,7/25/2022,21:59,E3,0.748
BL21,wt,JOE2354,78 ng/mL,7/25/2022,21:59,F2,1.173
